"survey_pk"	"surveyID"	"samplingPerformedBy"	"verbatimSiteNames"	"isSamplingEffortReported"	"hasMaterialSamples"	"event_fk"	"verbatimTargetScope"	"protocolNames"	"protocolDescriptions"	"protocolReferences"	"isAbundanceReported"	"materialSampleTypes"	"verbatimSiteDescription"
"P273.1B"	"P273.1B"	"P273"	"DOFAtlasIIIQuadrantID: 5712"	"true"	"true"	"P273.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: pasture"
"P49.1A"	"P49.1A"	"P49"	"DOFAtlasIIIQuadrantID: 5712"	"true"	"true"	"P49.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: pasture"
"P49.1B"	"P49.1B"	"P49"	"DOFAtlasIIIQuadrantID: 5712"	"true"	"true"	"P49.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: pasture"
"P273.2A"	"P273.2A"	"P273"	"DOFAtlasIIIQuadrantID: 5702"	"true"	"true"	"P273.2A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: forest"
"P273.2B"	"P273.2B"	"P273"	"DOFAtlasIIIQuadrantID: 5702"	"true"	"true"	"P273.2B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: forest"
"P49.2A"	"P49.2A"	"P49"	"DOFAtlasIIIQuadrantID: 5702"	"true"	"true"	"P49.2A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: forest"
"P49.2B"	"P49.2B"	"P49"	"DOFAtlasIIIQuadrantID: 5702"	"true"	"true"	"P49.2B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: forest"
"P327.1A"	"P327.1A"	"P327"	"DOFAtlasIIIQuadrantID: 5715"	"true"	"true"	"P327.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: pasture"
"P327.1B"	"P327.1B"	"P327"	"DOFAtlasIIIQuadrantID: 5715"	"true"	"true"	"P327.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: pasture"
"P50.1A"	"P50.1A"	"P50"	"DOFAtlasIIIQuadrantID: 5715"	"true"	"true"	"P50.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: pasture"
"P50.1B"	"P50.1B"	"P50"	"DOFAtlasIIIQuadrantID: 5715"	"true"	"true"	"P50.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: pasture"
"P50.2A"	"P50.2A"	"P50"	"DOFAtlasIIIQuadrantID: 5706"	"true"	"true"	"P50.2A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: forest"
"P50.2B"	"P50.2B"	"P50"	"DOFAtlasIIIQuadrantID: 5706"	"true"	"true"	"P50.2B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: forest"
"P292.1A"	"P292.1A"	"P292"	"DOFAtlasIIIQuadrantID: 5670"	"true"	"true"	"P292.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: beach meadow, marsh, meadow, lake"
"P292.1B"	"P292.1B"	"P292"	"DOFAtlasIIIQuadrantID: 5670"	"true"	"true"	"P292.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: beach meadow, marsh, meadow, lake"
"P51.1A"	"P51.1A"	"P51"	"DOFAtlasIIIQuadrantID: 5670"	"true"	"true"	"P51.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: beach meadow, marsh, meadow, lake"
"P51.1B"	"P51.1B"	"P51"	"DOFAtlasIIIQuadrantID: 5670"	"true"	"true"	"P51.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: beach meadow, marsh, meadow, lake"
"P292.2A"	"P292.2A"	"P292"	"DOFAtlasIIIQuadrantID: 5681"	"true"	"true"	"P292.2A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: meadow, marsh, lake"
"P292.2B"	"P292.2B"	"P292"	"DOFAtlasIIIQuadrantID: 5681"	"true"	"true"	"P292.2B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: meadow, marsh, lake"
"P51.2A"	"P51.2A"	"P51"	"DOFAtlasIIIQuadrantID: 5681"	"true"	"true"	"P51.2A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: meadow, marsh, lake"
"P51.2B"	"P51.2B"	"P51"	"DOFAtlasIIIQuadrantID: 5681"	"true"	"true"	"P51.2B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: meadow, marsh, lake"
"P52.1A"	"P52.1A"	"P52"	"DOFAtlasIIIQuadrantID: 7521"	"true"	"true"	"P52.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: urban"
"P52.1B"	"P52.1B"	"P52"	"DOFAtlasIIIQuadrantID: 7521"	"true"	"true"	"P52.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: urban"
"P308.2A"	"P308.2A"	"P308"	"DOFAtlasIIIQuadrantID: 7532"	"true"	"true"	"P308.2A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: forest"
"P308.2B"	"P308.2B"	"P308"	"DOFAtlasIIIQuadrantID: 7532"	"true"	"true"	"P308.2B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: forest"
"P52.2A"	"P52.2A"	"P52"	"DOFAtlasIIIQuadrantID: 7532"	"true"	"true"	"P52.2A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: forest"
"P52.2B"	"P52.2B"	"P52"	"DOFAtlasIIIQuadrantID: 7532"	"true"	"true"	"P52.2B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: forest"
"P263.1A"	"P263.1A"	"P263"	"DOFAtlasIIIQuadrantID: 3767"	"true"	"true"	"P263.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: pasture"
"P263.1B"	"P263.1B"	"P263"	"DOFAtlasIIIQuadrantID: 3767"	"true"	"true"	"P263.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: pasture"
"P54.1A"	"P54.1A"	"P54"	"DOFAtlasIIIQuadrantID: 3767"	"true"	"true"	"P54.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: pasture"
"P54.1B"	"P54.1B"	"P54"	"DOFAtlasIIIQuadrantID: 3767"	"true"	"true"	"P54.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: pasture"
"P54.2A"	"P54.2A"	"P54"	"DOFAtlasIIIQuadrantID: 3777"	"true"	"true"	"P54.2A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: meadow, marsh"
"P54.2B"	"P54.2B"	"P54"	"DOFAtlasIIIQuadrantID: 3777"	"true"	"true"	"P54.2B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: meadow, marsh"
"P55.1A"	"P55.1A"	"P55"	"DOFAtlasIIIQuadrantID: 4531"	"true"	"true"	"P55.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: agriculture | subland cover: intensive agriculture, semi-intensive agriculture"
"P55.1B"	"P55.1B"	"P55"	"DOFAtlasIIIQuadrantID: 4531"	"true"	"true"	"P55.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: agriculture | subland cover: intensive agriculture, semi-intensive agriculture"
"P55.2A"	"P55.2A"	"P55"	"DOFAtlasIIIQuadrantID: 4520"	"true"	"true"	"P55.2A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: pasture"
"P55.2B"	"P55.2B"	"P55"	"DOFAtlasIIIQuadrantID: 4520"	"true"	"true"	"P55.2B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: pasture"
"P57.1A"	"P57.1A"	"P57"	"DOFAtlasIIIQuadrantID: 3528"	"true"	"true"	"P57.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: agriculture | subland cover: intensive agriculture"
"P57.1B"	"P57.1B"	"P57"	"DOFAtlasIIIQuadrantID: 3528"	"true"	"true"	"P57.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: agriculture | subland cover: intensive agriculture"
"P57.2A"	"P57.2A"	"P57"	"DOFAtlasIIIQuadrantID: 3518"	"true"	"true"	"P57.2A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: moor, pasture"
"P57.2B"	"P57.2B"	"P57"	"DOFAtlasIIIQuadrantID: 3518"	"true"	"true"	"P57.2B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: dry | subland cover: moor, pasture"
"P58.1A"	"P58.1A"	"P58"	"DOFAtlasIIIQuadrantID: 6824"	"true"	"true"	"P58.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: urban"
"P58.1B"	"P58.1B"	"P58"	"DOFAtlasIIIQuadrantID: 6824"	"true"	"true"	"P58.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: urban"
"P58.2A"	"P58.2A"	"P58"	"DOFAtlasIIIQuadrantID: 6823"	"true"	"true"	"P58.2A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: agriculture | subland cover: intensive agriculture"
"P58.2B"	"P58.2B"	"P58"	"DOFAtlasIIIQuadrantID: 6823"	"true"	"true"	"P58.2B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: agriculture | subland cover: intensive agriculture"
"P331.1A"	"P331.1A"	"P331"	"DOFAtlasIIIQuadrantID: 7634"	"true"	"true"	"P331.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: urban"
"P331.1B"	"P331.1B"	"P331"	"DOFAtlasIIIQuadrantID: 7634"	"true"	"true"	"P331.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: urban"
"P59.1A"	"P59.1A"	"P59"	"DOFAtlasIIIQuadrantID: 7634"	"true"	"true"	"P59.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: urban"
"P59.1B"	"P59.1B"	"P59"	"DOFAtlasIIIQuadrantID: 7634"	"true"	"true"	"P59.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: urban"
"P59.2A"	"P59.2A"	"P59"	"DOFAtlasIIIQuadrantID: 7623"	"true"	"true"	"P59.2A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: beach meadow, lake"
"P59.2B"	"P59.2B"	"P59"	"DOFAtlasIIIQuadrantID: 7623"	"true"	"true"	"P59.2B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: beach meadow, lake"
"P286.1A"	"P286.1A"	"P286"	"DOFAtlasIIIQuadrantID: 6772"	"true"	"true"	"P286.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: meadow, marsh, lake"
"P286.1B"	"P286.1B"	"P286"	"DOFAtlasIIIQuadrantID: 6772"	"true"	"true"	"P286.1B"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: meadow, marsh, lake"
"P60.1A"	"P60.1A"	"P60"	"DOFAtlasIIIQuadrantID: 6772"	"true"	"true"	"P60.1A"	"flying insects"	"car net"	"Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences"	"Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g"	"false"	"PreservedOrganisms | MolecularDerivates"	"land cover: wet | subland cover: meadow, marsh, lake"
